MatchID,PlayerID,Minutes,Points,FGM,FGA,FGPercentage,3PM,3PA,3PPercentage,FTM,FTA,FTPercentage,OREB,DREB,REB,AST,STL,BLK,TOV,PF,ScoreDiff
P0001,RAP003,34,13,4,9,44.4,3,7,42.9,2,2,100,0,3,3,1,1,1,2,4,-8
P0001,RAP006,27,14,5,9,55.6,3,6,50,1,2,50,0,2,2,1,0,0,2,3,-16
P0001,RAP009,3,3,1,2,50,0,0,,1,1,100,0,0,0,1,0,0,0,0,4
P0001,RAP012,33,25,10,18,55.6,3,5,60,2,3,66.7,1,5,6,3,0,0,4,3,-2
P0001,RAP013,34,0,0,7,0,0,6,0,0,2,0,0,7,7,8,2,0,2,3,11
P0001,RAP017,32,13,5,9,55.6,2,5,40,1,2,50,1,5,6,4,0,0,0,0,-2
P0001,RAP018,16,4,1,4,25,0,2,0,2,2,100,0,4,4,0,0,0,0,0,1
P0001,RAP020,42,24,12,24,50,0,4,0,0,0,,3,6,9,4,1,2,1,3,-4
P0001,RAP022,19,5,2,6,33.3,1,1,100,0,0,,1,7,8,1,0,1,1,3,1
P0002,RAP003,22,0,0,4,0,0,3,0,0,0,,0,6,6,2,0,1,1,3,23
P0002,RAP005,3,0,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,-3
P0002,RAP006,21,2,1,5,20,0,2,0,0,0,,0,0,0,4,0,1,0,1,8
P0002,RAP008,4,4,1,1,100,0,0,,2,2,100,0,0,0,1,0,0,0,1,-2
P0002,RAP009,8,0,0,3,0,0,3,0,0,0,,0,1,1,0,0,0,1,1,-5
P0002,RAP012,33,37,15,22,68.2,4,8,50,3,3,100,0,4,4,4,2,0,1,3,37
P0002,RAP013,38,22,8,13,61.5,2,4,50,4,5,80,2,2,4,7,2,1,2,4,30
P0002,RAP016,4,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,-2
P0002,RAP017,22,9,3,5,60,3,4,75,0,0,,0,3,3,5,4,0,0,3,22
P0002,RAP018,26,5,2,10,20,1,6,16.7,0,0,,0,4,4,1,2,0,0,3,6
P0002,RAP020,37,19,8,16,50,0,3,0,3,3,100,2,8,10,1,0,0,0,2,21
P0002,RAP022,24,13,4,8,50,1,2,50,4,4,100,1,7,8,0,0,2,2,2,10
P0003,RAP003,33,13,5,11,45.5,3,7,42.9,0,0,,1,0,1,2,1,1,1,2,10
P0003,RAP006,24,4,2,7,28.6,0,2,0,0,0,,0,2,2,3,0,0,2,1,-11
P0003,RAP009,2,0,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,-3
P0003,RAP012,37,16,5,19,26.3,0,3,0,6,7,85.7,2,8,10,4,1,0,6,3,1
P0003,RAP013,40,12,4,10,40,2,6,33.3,2,2,100,1,4,5,10,1,1,3,4,8
P0003,RAP017,26,9,4,6,66.7,1,1,100,0,0,,0,4,4,1,4,0,0,4,5
P0003,RAP018,14,8,3,5,60,2,3,66.7,0,0,,1,1,2,0,1,0,1,1,2
P0003,RAP020,42,30,13,20,65,3,4,75,1,1,100,3,8,11,4,0,0,0,3,13
P0003,RAP022,21,6,3,9,33.3,0,2,0,0,0,,0,8,8,2,0,1,0,4,0
P0004,RAP003,26,8,3,8,37.5,2,6,33.3,0,0,,0,2,2,2,2,0,0,4,10
P0004,RAP005,3,0,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0
P0004,RAP006,23,9,2,5,40,1,2,50,4,4,100,0,2,2,4,1,0,1,4,9
P0004,RAP008,3,0,0,1,0,0,0,,0,0,,0,2,2,0,0,0,3,0,0
P0004,RAP009,5,0,0,1,0,0,0,,0,0,,0,2,2,0,0,0,0,0,1
P0004,RAP012,35,34,12,20,60,2,5,40,8,9,88.9,3,3,6,2,2,2,1,3,20
P0004,RAP013,39,9,3,8,37.5,2,5,40,1,2,50,1,3,4,9,4,0,6,2,26
P0004,RAP016,2,0,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,-3
P0004,RAP017,25,2,1,3,33.3,0,0,,0,0,,0,6,6,2,2,2,0,2,11
P0004,RAP018,21,16,7,9,77.8,1,2,50,1,1,100,0,4,4,1,0,0,0,2,14
P0004,RAP020,36,16,7,14,50,2,6,33.3,0,0,,0,6,6,2,0,1,2,0,11
P0004,RAP021,3,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
P0004,RAP022,20,13,5,6,83.3,1,2,50,2,2,100,3,5,8,1,0,1,1,1,11
P0005,RAP003,28,6,2,5,40,2,5,40,0,0,,0,5,5,3,2,0,1,2,28
P0005,RAP005,5,0,0,1,0,0,0,,0,0,,0,1,1,0,0,0,0,2,-16
P0005,RAP006,21,7,3,8,37.5,1,4,25,0,0,,0,1,1,10,0,0,2,2,10
P0005,RAP008,6,2,0,1,0,0,1,0,2,2,100,0,0,0,0,0,0,1,1,-16
P0005,RAP009,14,5,2,8,25,0,3,0,1,2,50,0,3,3,0,0,1,0,3,-15
