MatchID,PlayerID,Minutes,Points,FGM,FGA,FGPercentage,3PM,3PA,3PPercentage,FTM,FTA,FTPercentage,OREB,DREB,REB,AST,STL,BLK,TOV,PF,ScoreDiff
R0001,RAP022,27,9,2,10,20,1,3,33.3,4,6,66.7,4,3,7,1,2,3,2,6,-1
R0001,RAP020,20,13,6,8,75,1,1,100,0,0,,0,2,2,2,0,1,0,2,11
R0001,RAP019,18,4,2,3,66.7,0,1,0,0,0,,0,0,0,0,1,0,1,1,-2
R0001,RAP018,12,5,2,3,66.7,1,2,50,0,0,,0,0,0,0,0,0,0,4,0
R0001,RAP015,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
R0001,RAP014,1,0,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,-1
R0001,RAP013,36,27,10,12,83.3,5,6,83.3,2,3,66.7,0,1,1,8,1,1,3,1,12
R0001,RAP012,37,24,9,22,40.9,1,3,33.3,5,6,83.3,1,11,12,2,0,0,2,3,13
R0001,RAP010,20,6,3,8,37.5,0,2,0,0,0,,2,10,12,3,0,0,0,2,13
R0001,RAP006,25,14,6,14,42.9,1,5,20,1,3,33.3,0,2,2,5,0,0,1,4,-4
R0001,RAP003,33,11,4,9,44.4,3,7,42.9,0,0,,1,4,5,0,2,2,0,3,15
R0001,RAP002,10,3,1,3,33.3,1,3,33.3,0,2,0,0,1,1,0,0,0,0,3,4
R0002,RAP022,34,21,10,14,71.4,1,2,50,0,1,0,4,2,6,2,0,1,1,2,16
R0002,RAP020,18,4,2,6,33.3,0,2,0,0,0,,0,5,5,2,0,0,2,1,0
R0002,RAP019,21,9,4,6,66.7,1,3,33.3,0,0,,2,2,4,0,0,0,1,4,-1
R0002,RAP018,10,2,1,5,20,0,0,,0,0,,0,2,2,1,1,0,0,1,-5
R0002,RAP013,34,15,5,8,62.5,3,5,60,2,4,50,0,6,6,6,0,0,0,3,18
R0002,RAP012,36,31,10,25,40,2,5,40,9,9,100,2,8,10,3,1,0,3,1,17
R0002,RAP010,14,4,1,3,33.3,0,0,,2,2,100,1,4,5,0,0,0,2,4,-4
