PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Serge Ibaka,TOR,06/13/2019,TOR @ GSW,W,22,15,7,12,58.3,0,1,0,1,2,50,2,1,3,2,0,0,1,4,9
Serge Ibaka,TOR,06/10/2019,TOR vs. GSW,L,17,15,5,8,62.5,0,1,0,5,6,83.3,2,4,6,1,1,1,2,4,-5
Serge Ibaka,TOR,06/07/2019,TOR @ GSW,W,22,20,9,12,75,1,1,100,1,1,100,1,3,4,1,0,2,1,5,11
Serge Ibaka,TOR,06/05/2019,TOR @ GSW,W,22,6,2,4,50,0,0,-,2,2,100,1,4,5,1,2,6,2,4,0
Serge Ibaka,TOR,06/02/2019,TOR vs. GSW,L,16,7,3,7,42.9,1,1,100,0,0,-,3,7,10,0,2,0,0,3,3
Serge Ibaka,TOR,05/30/2019,TOR vs. GSW,W,17,5,2,7,28.6,0,2,0,1,2,50,2,1,3,1,0,1,2,3,-1
Serge Ibaka,TOR,05/25/2019,TOR vs. MIL,W,25,9,4,7,57.1,0,0,-,1,2,50,0,3,3,0,0,0,0,4,3
Serge Ibaka,TOR,05/23/2019,TOR @ MIL,W,19,6,1,4,25,0,0,-,4,4,100,0,6,6,0,0,0,0,0,9
Serge Ibaka,TOR,05/21/2019,TOR vs. MIL,W,24,17,7,12,58.3,0,3,0,3,3,100,4,9,13,2,1,0,1,3,24
Serge Ibaka,TOR,05/19/2019,TOR vs. MIL,W,14,5,2,9,22.2,1,3,33.3,0,0,-,2,4,6,0,1,1,0,2,-3
Serge Ibaka,TOR,05/17/2019,TOR @ MIL,L,27,8,4,9,44.4,0,2,0,0,2,0,2,8,10,3,0,0,4,4,-4
Serge Ibaka,TOR,05/15/2019,TOR @ MIL,L,17,4,2,6,33.3,0,2,0,0,0,-,1,3,4,1,1,1,0,2,-17
Serge Ibaka,TOR,05/12/2019,TOR vs. PHI,W,29,17,6,10,60,3,5,60,2,2,100,4,4,8,3,0,0,2,4,22
Serge Ibaka,TOR,05/09/2019,TOR @ PHI,L,22,9,3,10,30,0,3,0,3,4,75,0,3,3,1,0,1,1,6,-12
Serge Ibaka,TOR,05/07/2019,TOR vs. PHI,W,22,10,4,7,57.1,0,0,-,2,3,66.7,1,1,2,0,0,0,2,4,27
Serge Ibaka,TOR,05/05/2019,TOR @ PHI,W,32,12,6,12,50,0,3,0,0,0,-,2,7,9,0,0,3,0,2,-1
Serge Ibaka,TOR,05/02/2019,TOR @ PHI,L,16,4,2,6,33.3,0,0,-,0,0,-,0,5,5,0,1,0,1,1,4
Serge Ibaka,TOR,04/29/2019,TOR vs. PHI,L,13,2,1,5,20,0,1,0,0,0,-,1,0,1,0,0,0,1,4,-12
Serge Ibaka,TOR,04/27/2019,TOR vs. PHI,W,19,7,3,9,33.3,0,2,0,1,2,50,1,5,6,0,0,2,0,5,-9
Serge Ibaka,TOR,04/23/2019,TOR vs. ORL,W,19,10,5,8,62.5,0,1,0,0,1,0,1,3,4,2,2,0,1,5,11
Serge Ibaka,TOR,04/21/2019,TOR @ ORL,W,20,13,5,6,83.3,1,2,50,2,2,100,3,5,8,1,0,1,1,1,11
Serge Ibaka,TOR,04/19/2019,TOR @ ORL,W,21,6,3,9,33.3,0,2,0,0,0,-,0,8,8,2,0,1,0,4,0
Serge Ibaka,TOR,04/16/2019,TOR vs. ORL,W,24,13,4,8,50,1,2,50,4,4,100,1,7,8,0,0,2,2,2,10
Serge Ibaka,TOR,04/13/2019,TOR vs. ORL,L,19,5,2,6,33.3,1,1,100,0,0,-,1,7,8,1,0,1,1,3,1
Patrick McCaw,TOR,06/10/2019,TOR vs. GSW,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Patrick McCaw,TOR,06/07/2019,TOR @ GSW,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Patrick McCaw,TOR,06/05/2019,TOR @ GSW,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,-5
Patrick McCaw,TOR,05/30/2019,TOR vs. GSW,W,7,3,1,2,50,1,1,100,0,0,-,0,0,0,1,0,0,0,0,-3
Patrick McCaw,TOR,05/09/2019,TOR @ PHI,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,1,4
Patrick McCaw,TOR,05/07/2019,TOR vs. PHI,W,7,2,0,1,0,0,1,0,2,2,100,0,0,0,0,0,0,0,0,6
Patrick McCaw,TOR,05/05/2019,TOR @ PHI,W,5,0,0,1,0,0,0,-,0,0,-,1,0,1,1,1,0,0,1,-1
Patrick McCaw,TOR,05/02/2019,TOR @ PHI,L,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Patrick McCaw,TOR,04/27/2019,TOR vs. PHI,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-6
Patrick McCaw,TOR,04/23/2019,TOR vs. ORL,W,8,0,0,1,0,0,1,0,0,0,-,1,1,2,0,1,0,0,1,-11
Patrick McCaw,TOR,04/21/2019,TOR @ ORL,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,0
Pascal Siakam,TOR,06/13/2019,TOR @ GSW,W,46,26,10,17,58.8,3,6,50,3,4,75,2,8,10,3,1,1,2,2,2
Pascal Siakam,TOR,06/10/2019,TOR vs. GSW,L,34,12,6,15,40,0,4,0,0,1,0,1,3,4,2,1,0,2,2,-5
