PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Serge Ibaka,TOR,04/07/2019,TOR vs. MIA,W,19,12,6,14,42.9,0,1,0,0,0,-,2,3,5,0,0,3,1,2,-17
Serge Ibaka,TOR,04/05/2019,TOR @ CHA,L,21,20,10,15,66.7,0,1,0,0,0,-,3,9,12,1,0,2,2,1,-10
Serge Ibaka,TOR,04/03/2019,TOR @ BKN,W,24,23,8,15,53.3,5,5,100,2,2,100,4,8,12,2,1,0,2,4,1
Serge Ibaka,TOR,04/01/2019,TOR vs. ORL,W,20,15,7,10,70,1,1,100,0,1,0,1,5,6,1,0,1,3,3,-2
Serge Ibaka,TOR,03/30/2019,TOR @ CHI,W,28,23,10,16,62.5,2,5,40,1,1,100,3,9,12,2,0,1,2,3,2
Serge Ibaka,TOR,03/28/2019,TOR @ NYK,W,24,10,5,9,55.6,0,2,0,0,3,0,2,8,10,1,0,2,1,1,11
Serge Ibaka,TOR,03/26/2019,TOR vs. CHI,W,23,16,7,13,53.8,1,2,50,1,1,100,0,8,8,0,0,2,0,3,3
Serge Ibaka,TOR,03/24/2019,TOR vs. CHA,L,18,10,4,6,66.7,0,0,-,2,2,100,1,0,1,0,0,0,0,2,-11
Serge Ibaka,TOR,03/22/2019,TOR vs. OKC,L,20,11,5,7,71.4,0,0,-,1,2,50,2,4,6,0,0,2,2,3,-14
Serge Ibaka,TOR,03/20/2019,TOR @ OKC,W,23,6,1,4,25,0,2,0,4,4,100,1,8,9,0,0,2,1,2,-2
Serge Ibaka,TOR,03/11/2019,TOR @ CLE,L,17,8,3,6,50,0,2,0,2,3,66.7,1,6,7,0,0,1,0,0,-4
Serge Ibaka,TOR,03/10/2019,TOR @ MIA,W,22,10,4,7,57.1,1,3,33.3,1,2,50,0,8,8,1,0,3,0,0,18
Serge Ibaka,TOR,03/08/2019,TOR @ NOP,W,25,12,6,10,60,0,1,0,0,0,-,2,9,11,1,1,5,0,1,11
Serge Ibaka,TOR,03/05/2019,TOR vs. HOU,L,30,10,4,7,57.1,0,0,-,2,3,66.7,5,10,15,2,0,5,2,4,18
Serge Ibaka,TOR,03/03/2019,TOR @ DET,L,20,5,2,7,28.6,1,1,100,0,0,-,4,7,11,1,0,0,0,2,-4
Serge Ibaka,TOR,03/01/2019,TOR vs. POR,W,16,2,0,5,0,0,2,0,2,2,100,1,6,7,0,0,1,0,3,-18
Serge Ibaka,TOR,02/26/2019,TOR vs. BOS,W,20,14,6,7,85.7,2,2,100,0,0,-,0,2,2,0,0,0,0,2,5
Serge Ibaka,TOR,02/24/2019,TOR vs. ORL,L,24,14,7,14,50,0,1,0,0,0,-,3,2,5,0,0,0,2,2,-17
Serge Ibaka,TOR,02/22/2019,TOR vs. SAS,W,31,13,4,13,30.8,1,3,33.3,4,6,66.7,6,9,15,2,0,1,1,4,5
Serge Ibaka,TOR,02/13/2019,TOR vs. WAS,W,31,10,4,9,44.4,1,1,100,1,2,50,2,11,13,6,0,2,2,4,9
Serge Ibaka,TOR,02/11/2019,TOR vs. BKN,W,26,18,9,13,69.2,0,2,0,0,0,-,2,10,12,1,1,2,0,1,-2
Serge Ibaka,TOR,02/09/2019,TOR @ NYK,W,29,15,5,10,50,0,1,0,5,6,83.3,2,11,13,4,1,0,2,2,2
Serge Ibaka,TOR,02/07/2019,TOR @ ATL,W,26,12,4,10,40,0,1,0,4,6,66.7,0,5,5,2,0,0,0,2,-8
Serge Ibaka,TOR,02/05/2019,TOR @ PHI,W,27,20,10,15,66.7,0,1,0,0,0,-,3,7,10,3,0,0,1,5,24
